Titlu,Are reducere,Reducere,Pret actual,Pret vechi,Status produs,Link produs,Specificatii produs
Laptop LENOVO Legion Y520-15IKBN,DA,800 lei,3099.9 lei,"3.899,90 lei",In Stoc,https://altex.ro/laptop-lenovo-legion-y520-15ikbn-intelr-coretm-i7-7700hq-pana-la-3-8ghz-15-6-ips-full-hd-8gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos/cpd/LAP80WK007URI/,"Procesor Intel® Core™ i7-7700HQ Processor (6M Cache up to 3.8GHz), 15.6"" IPS Full HD, 8GB, 1TB, NVIDIA GeForce GTX 1050 4GB, Free Dos"
Laptop Lenovo IdeaPad 330-15IKBR,DA,360 lei,1699.9 lei,"2.059,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-330-15ikbr-intel-core-i5-8250u-pana-la-3-4ghz-15-6-full-hd-4gb-1tb-intel-uhd-graphics-620-free-dos/cpd/LAP81DE017ARM/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 15.6"" Full HD, 4GB, 1TB, Intel UHD Graphics 620, Free Dos"
Laptop ASUS X542UA-DM833,DA,500 lei,2399.9 lei,"2.899,90 lei",In Stoc,https://altex.ro/laptop-asus-x542ua-dm833-intelr-coretm-i7-8550u-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-256gb-intelr-uhd-graphics-620-endless/cpd/LAPX542UADM833/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel® UHD Graphics 620, Endless"
Laptop LENOVO IdeaPad 330-15IGM,DA,24%,797.92 lei,"1.049,90 lei",In Stoc,https://altex.ro/laptop-lenovo-ideapad-330-15igm-intel-celeron-n4000-pana-la-2-6ghz-15-6-hd-4gb-500gb-intel-hd-graphics-600-free-dos/cpd/LAP81D100ECRM/,"Procesor Intel Celeron N4000 pana la 2.6GHz, 15.6"" HD, 4GB, 500GB, Intel HD Graphics 600, Free Dos"
Laptop Gaming HP Pavilion 15-bc414nq,DA,600 lei,2699.9 lei,"3.299,90 lei",In Stoc,https://altex.ro/laptop-gaming-hp-pavilion-15-bc414nq-intel-core-i5-8250u-pana-la-3-4ghz-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos/cpd/LAP5ES99EA/,"Procesor Intel Core i5-8250U pana la 3.4GHz, 15.6"" Full HD, 8GB, 1TB, NVIDIA GeForce GTX 1050 4GB, Free Dos"
Laptop HP 15-da0138nq,DA,600 lei,1399.9 lei,"1.999,90 lei",In Stoc,https://altex.ro/laptop-hp-15-da0138nq-intelr-coretm-i3-7100u-2-4ghz-15-6-full-hd-4gb-1tb-intelr-hd-graphics-620-free-dos/cpd/LAP5GV29EA/,"Procesor Intel® Core™ i3-7100U 2.4GHz, 15.6"" Full HD, 4GB, 1TB, Intel® HD Graphics 620, Free Dos"
Laptop ASUS A541NA-GO342T,DA,30%,1189.93 lei,"1.699,90 lei",In Stoc,https://altex.ro/laptop-asus-a541na-go342t-intel-celeron-n3350-pana-la-2-4ghz-15-6-4gb-500gb-intel-hd-graphics-500-windows-10-home/cpd/LAPA541NAGO342T/,"Procesor Intel Celeron N3350 pana la 2.4GHz, 15.6"", 4GB, 500GB, Intel HD Graphics 500, Windows 10 Home"
Laptop HP 15-da0040nq,DA,22%,2183.92 lei,"2.799,90 lei",In Stoc,https://altex.ro/laptop-hp-15-da0040nq-intelr-coretm-i5-8250u-pana-la-3-4ghz-15-6-full-hd-8gb-1tb-nvidia-gefoce-mx130-4gb-free-dos/cpd/LAP4MF94EA/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 15.6"" Full HD, 8GB, 1TB, NVIDIA GeFoce MX130 4GB, Free Dos"
Laptop LENOVO Legion Y520-15IKBM,DA,500 lei,3399.9 lei,"3.899,90 lei",In Stoc,https://altex.ro/laptop-lenovo-legion-y520-15ikbm-intel-core-i5-7300hq-pana-la-3-5ghz-15-6-full-hd-8gb-1tb-nvidia-geforce-gtx-1060-3gb-free-dos/cpd/LAP80YY000SRI/,"Procesor Intel Core i5-7300HQ pana la 3.5GHz, 15.6""  Full HD, 8GB, 1TB, NVIDIA GeForce GTX 1060 3GB, Free Dos"
Laptop Gaming ASUS ROG Strix GL503VD-FY004,DA,699 lei,3399.9 lei,"4.099,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-rog-strix-gl503vd-fy004-intelr-coretm-i7-7700hq-pana-la-3-8ghz-15-6-full-hd-8gb-1tb-8gb-cache-nvidia-geforce-gtx-1050-4gb-free-dos/cpd/LAPGL503VDFY004/,"Procesor Intel® Core™ i7-7700HQ pana la 3.8GHz, 15.6"" Full HD, 8GB, 1TB + 8GB cache, NVIDIA GeForce GTX 1050 4GB, Free Dos"
Laptop LENOVO V110-15ISK,DA,20%,1199.92 lei,"1.499,90 lei",In Stoc,https://altex.ro/laptop-lenovo-v110-15isk-intelr-coretm-i3-6006u-2-0ghz-15-6-4gb-1tb-intelr-hd-graphics-520-free-dos/cpd/LAP80TL017PRI/,"Procesor Intel® Core™ i3-6006U 2.0GHz, 15.6"", 4GB, 1TB, Intel® HD Graphics 520, Free Dos"
Laptop 2 in 1 HP Pavilion x360 15-cr0009nq,NU,,2749.9 lei,,In Stoc,https://altex.ro/laptop-2-in-1-hp-pavilion-x360-15-cr0009nq-intel-core-i3-8130u-pana-la-3-4ghz-15-6-full-hd-touch-4gb-1tb-intel-uhd-graphics-620-windows-10-home/cpd/TPC4DJ65EA/,"Procesor Intel Core i3-8130U pana la 3.4GHz, 15.6"" Full HD Touch, 4GB, 1TB, Intel UHD Graphics 620, Windows 10 Home"
Laptop ASUS ROG GL703VM-BA182,DA,800 lei,4899.9 lei,"5.699,90 lei",In Stoc,https://altex.ro/laptop-asus-rog-gl703vm-ba182-intelr-coretm-i7-7700hq-pana-la-3-8ghz-17-3-full-hd-8gb-hdd-1tb-ssd-128gb-nvidia-geforce-gtx-1060-6gb-free-dos/cpd/LAPGL703VMBA182/,"Procesor Intel® Core™ i7-7700HQ pana la 3.8GHz, 17.3"" Full HD, 8GB, HDD 1TB + SSD 128GB, NVIDIA GeForce GTX 1060 6GB, Free Dos"
Laptop ACER Aspire 1 A114-32-C75D,DA,22%,896.92 lei,"1.149,90 lei",In Stoc,https://altex.ro/laptop-acer-aspire-1-a114-32-c75d-intel-celeron-n4100-pana-la-2-4ghz-4gb-ddr4-emmc-64gb-intelr-uhd-graphics-600-windows-10-s/cpd/LAPNXGVZEX002/,"Procesor Intel Celeron N4100 pana la 2.4GHz, 4GB DDR4, eMMC 64GB, Intel® UHD Graphics 600, Windows 10 S"
Laptop ASUS A541NA-GO342,DA,23%,846.92 lei,"1.099,90 lei",In Stoc,https://altex.ro/laptop-asus-a541na-go342-intelr-celeronr-n3350-pana-la-2-4ghz-15-6-4gb-500gb-intelr-hd-graphics-500-endless/cpd/LAPA541NAGO342/,"Procesor Intel® Celeron® N3350 pana la 2.4GHz, 15.6"", 4GB, 500GB, Intel® HD Graphics 500, Endless"
Laptop Gaming ASUS FX504GE-EN619,DA,700 lei,4299.9 lei,"4.999,90 lei",In Stoc,https://altex.ro/laptop-gaming-asus-fx504ge-en619-intel-core-i7-8750h-pana-la-4-1ghz-15-6-full-hd-8gb-hdd-1tb-ssd-256gb-nvidia-geforce-gtx-1050-ti-4gb-free-dos-metal-gun/cpd/LAPFX504GEEN619/,"Procesor Intel Core i7-8750H pana la 4.1GHz, 15.6"" Full HD, 8GB, HDD 1TB + SSD 256GB, NVIDIA GeForce GTX 1050 Ti 4GB, Free Dos, Metal Gun"
Laptop HP ProBook 470 G5,DA,700 lei,4199.9 lei,"4.899,90 lei",In Stoc,https://altex.ro/laptop-hp-probook-470-g5-intelr-coretm-i7-8550u-pana-la-4-0ghz-17-3-full-hd-8gb-1tb-ssd-256gb-nvidia-geforce-930mx-2gb-windows-10-pro/cpd/LAP2RR84EA/,"Procesor Intel® Core™ i7-8550U pana la 4.0GHz, 17.3"" Full HD, 8GB, 1TB + SSD 256GB, NVIDIA GeForce 930MX 2GB, Windows 10 Pro"
Laptop ACER Nitro 5 AN515-31-52DR,DA,300 lei,2499.9 lei,"2.799,90 lei",In Stoc,https://altex.ro/laptop-acer-nitro-5-an515-31-52dr-intelr-coretm-i5-8250u-pana-la-3-4ghz-15-6-full-hd-8gb-1tb-nvidia-geforce-mx150-2gb-linux/cpd/LAPNHQ2XEX003/,"Procesor Intel® Core™ i5-8250U pana la 3.4GHz, 15.6"" Full HD, 8GB, 1TB, NVIDIA GeForce MX150 2GB, Linux"
